City,Date,Actual_AQI,Predicted_AQI_R.F,Predicted_AQI_XGBoost,Predicted_AQI_LightGBM
Gurugram,11/13/2018,339,346.02,360.71,375.3
Amaravati,10/13/2018,109,110.46,113.69,110.26
Bengaluru,9/21/2019,74,76.58,78.83,77.5
Guwahati,12/30/2019,334,322,311,301
Delhi,12/21/2018,422,423.37,429.89,412.18
Gurugram,7/19/2018,96,94.47,118.83,108.79
Ahmedabad,6/11/2016,166.46,164.48,164.45,164.99
Bengaluru,10/27/2016,132,130.48,115.18,121.36
Mumbai,8/4/2018,65,69.45,72.66,74.43
Guwahati,8/18/2019,49,49.34,52.52,50.86
Amaravati,10/9/2019,78,71.56,69.25,68.28
Bengaluru,10/21/2015,88,89.32,82.43,89.97
Chennai,12/22/2016,166.46,164.48,164.45,164.99
Hyderabad,7/4/2015,103,103.67,97.15,93.32
Jorapokhar,12/29/2019,151,149.14,147.97,152.8
Ahmedabad,7/3/2015,243,228.05,219.96,222.8
Jorapokhar,7/22/2019,89,88.6,95.57,93.81
Delhi,9/12/2015,226,225.82,229.11,227.2
Ahmedabad,6/5/2018,297,327.54,308.11,309.58
Hyderabad,9/30/2017,70,70.23,75.05,69.75
